"sequence","prokka_descrip","max_annot_lvl","Preferred_name","Description","EC","KEGG_ko","CAZy","PFAMs","Preferred_name2","AMR_descrip","Class","Subclass","percent_ident"
"HEBPGAIP_00327","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00328","hypothetical protein","91061|Bacilli","-","Nucleotidyltransferase","-","ko:K09962","-","NTP_transf_6",NA,NA,NA,NA,NA
"HEBPGAIP_00329","hypothetical protein","91061|Bacilli","-","Protein of unknown function (DUF2798)","-","-","-","DUF2798",NA,NA,NA,NA,NA
"HEBPGAIP_00330","Putative esterase","91061|Bacilli","yuxO","Thioesterase superfamily","-","-","-","4HBT",NA,NA,NA,NA,NA
"HEBPGAIP_00331","1","91061|Bacilli","menB","Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4- dihydroxy-2-naphthoyl-CoA (DHNA-CoA)","4.1.3.36","ko:K01661","-","ECH_1",NA,NA,NA,NA,NA
"HEBPGAIP_00332","2-succinylbenzoate--CoA ligase","91061|Bacilli","menE","Belongs to the ATP-dependent AMP-binding enzyme family. MenE subfamily","6.2.1.26","ko:K01911","-","AMP-binding,AMP-binding_C",NA,NA,NA,NA,NA
"HEBPGAIP_00333","hypothetical protein","91061|Bacilli","-","Protein of unknown function (DUF1097)","-","-","-","DUF1097",NA,NA,NA,NA,NA
"HEBPGAIP_00334","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00335","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase","91061|Bacilli","murE","Catalyzes the addition of an amino acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan","6.3.2.13,6.3.2.7","ko:K01928,ko:K05362","-","Mur_ligase_C,Mur_ligase_M",NA,NA,NA,NA,NA
"HEBPGAIP_00336","Lysine--tRNA ligase","91061|Bacilli","lysS","Belongs to the class-II aminoacyl-tRNA synthetase family","6.1.1.6","ko:K04567","-","tRNA-synt_2,tRNA_anti-codon",NA,NA,NA,NA,NA
"HEBPGAIP_00337","hypothetical protein","91061|Bacilli","-","Major Facilitator Superfamily","-","-","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00338","tRNA-Glu(ttc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00339","tRNA-Gln(ttg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00340","hypothetical protein","91061|Bacilli","-","Belongs to the short-chain dehydrogenases reductases (SDR) family","-","-","-","adh_short",NA,NA,NA,NA,NA
"HEBPGAIP_00341","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00342","hypothetical protein","91061|Bacilli","-","NAD(P)H-binding","-","ko:K07118","-","NAD_binding_10",NA,NA,NA,NA,NA
"HEBPGAIP_00343","hypothetical protein","91061|Bacilli","-","Bacterial regulatory proteins, tetR family","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00344","Glutamate/gamma-aminobutyrate antiporter","91061|Bacilli","-","amino acid","-","ko:K20265","-","AA_permease_2",NA,NA,NA,NA,NA
"HEBPGAIP_00345","Glutamate decarboxylase","91061|Bacilli","-","Belongs to the group II decarboxylase family","4.1.1.15,4.1.2.27","ko:K01580,ko:K01634","-","Pyridoxal_deC",NA,NA,NA,NA,NA
"HEBPGAIP_00346","Glutamate--tRNA ligase","91061|Bacilli","gltX","Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)","6.1.1.24","ko:K09698","-","tRNA-synt_1c",NA,NA,NA,NA,NA
"HEBPGAIP_00347","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00348","16S ribosomal RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00349","23S ribosomal RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00350","5S ribosomal RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00351","Proton/sodium-glutamate symport protein","91061|Bacilli","gltT","Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family","-","ko:K03309,ko:K11102","-","SDF",NA,NA,NA,NA,NA
"HEBPGAIP_00352","Alkyl hydroperoxide reductase C","91061|Bacilli","ahpC","Peroxiredoxin","1.11.1.15","ko:K03386","-","1-cysPrx_C,AhpC-TSA",NA,NA,NA,NA,NA
"HEBPGAIP_00353","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00354","putative sugar epimerase YhfK","91061|Bacilli","-","NAD(P)H-binding","-","-","-","NAD_binding_10",NA,NA,NA,NA,NA
"HEBPGAIP_00355","hypothetical protein","91061|Bacilli","-","transcriptional regulator","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00356","hypothetical protein","91061|Bacilli","-","Amidohydrolase","-","ko:K07045","-","Amidohydro_2",NA,NA,NA,NA,NA
"HEBPGAIP_00357","hypothetical protein","91061|Bacilli","-","Uncharacterized protein conserved in bacteria (DUF2316)","-","-","-","DUF2316",NA,NA,NA,NA,NA
"HEBPGAIP_00358","hypothetical protein","91061|Bacilli","-","-","-","-","-","SnoaL_4",NA,NA,NA,NA,NA
"HEBPGAIP_00359","hypothetical protein","91061|Bacilli","-","-","-","-","-","SnoaL_4",NA,NA,NA,NA,NA
"HEBPGAIP_00360","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00361","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00362","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00363","6-phosphogluconate dehydrogenase","91061|Bacilli","gnd","Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH","1.1.1.343,1.1.1.44","ko:K00033","-","6PGD,NAD_binding_2",NA,NA,NA,NA,NA
"HEBPGAIP_00364","hypothetical protein","91061|Bacilli","-","Transcriptional regulator","-","-","-","MarR,MarR_2",NA,NA,NA,NA,NA
"HEBPGAIP_00365","Protein ElaA","91061|Bacilli","-","Gnat family","-","ko:K02348","-","Acetyltransf_10",NA,NA,NA,NA,NA
"HEBPGAIP_00366","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00367","Glucose-6-phosphate 1-dehydrogenase","91061|Bacilli","zwf","Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone","1.1.1.363,1.1.1.49","ko:K00036","-","G6PD_C,G6PD_N",NA,NA,NA,NA,NA
"HEBPGAIP_00368","SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD","91061|Bacilli","-","Aminoglycoside 3-N-acetyltransferase","2.3.1.81","ko:K00662","-","Antibiotic_NAT",NA,NA,NA,NA,NA
"HEBPGAIP_00369","hypothetical protein","91061|Bacilli","-","Bacterial regulatory proteins, tetR family","-","-","-","TetR_N",NA,NA,NA,NA,NA
"HEBPGAIP_00370","Coniferyl aldehyde dehydrogenase","91061|Bacilli","-","Belongs to the aldehyde dehydrogenase family","-","-","-","Aldedh",NA,NA,NA,NA,NA
"HEBPGAIP_00371","Pyridoxine 4-dehydrogenase","91061|Bacilli","-","Aldo keto reductase","1.1.1.65","ko:K05275","-","Aldo_ket_red",NA,NA,NA,NA,NA
"HEBPGAIP_00372","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00373","hypothetical protein","91061|Bacilli","yttB","Major Facilitator","-","-","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00374","Phosphoglycerate transporter protein","91061|Bacilli","glpT","Major Facilitator Superfamily","-","ko:K02445","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00375","hypothetical protein","91061|Bacilli","ywnB","NAD(P)H-binding","-","ko:K07118","-","NAD_binding_10",NA,NA,NA,NA,NA
"HEBPGAIP_00376","Multidrug resistance protein 3","91061|Bacilli","mdr","Major Facilitator","-","-","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00377","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00378","FMN reductase (NADPH)","91061|Bacilli","nfrA","nitroreductase","1.5.1.38","ko:K19285","-","Nitroreductase",NA,NA,NA,NA,NA
"HEBPGAIP_00379","Putative NrdI-like protein","91061|Bacilli","nrdI","Belongs to the NrdI family","-","ko:K03647","-","Flavodoxin_NdrI",NA,NA,NA,NA,NA
"HEBPGAIP_00380","Nucleotide-binding protein ExpZ","91061|Bacilli","-","ATPases associated with a variety of cellular activities","-","ko:K18231,ko:K19349","-","ABC_tran,ABC_tran_Xtn",NA,NA,NA,NA,NA
"HEBPGAIP_00381","Fatty acid resistance protein FarB","91061|Bacilli","lmrB","Belongs to the major facilitator superfamily","-","ko:K18926","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00382","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00383","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","91061|Bacilli","kduD","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)","1.1.1.127","ko:K00065","-","adh_short,adh_short_C2",NA,NA,NA,NA,NA
"HEBPGAIP_00384","HTH-type transcriptional regulator KdgR","91061|Bacilli","-","Transcriptional regulator, LacI family","-","ko:K02525","-","LacI,Peripla_BP_1,Peripla_BP_3,Peripla_BP_4",NA,NA,NA,NA,NA
"HEBPGAIP_00385","hypothetical protein","2|Bacteria","-","transcriptional regulator","-","-","-","TetR_C_8,TetR_N",NA,NA,NA,NA,NA
"HEBPGAIP_00386","hypothetical protein","91061|Bacilli","-","Enoyl-(Acyl carrier protein) reductase","-","-","-","adh_short",NA,NA,NA,NA,NA
"HEBPGAIP_00387","hypothetical protein","91061|Bacilli","yhdP","Transporter associated domain","-","-","-","CBS,CorC_HlyC,DUF21",NA,NA,NA,NA,NA
"HEBPGAIP_00388","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00389","Acid shock protein","91061|Bacilli","hsp1","Belongs to the small heat shock protein (HSP20) family","-","ko:K13993","-","HSP20",NA,NA,NA,NA,NA
"HEBPGAIP_00390","Inner membrane transporter YjeM","91061|Bacilli","-","Amino Acid","-","-","-","AA_permease_2",NA,NA,NA,NA,NA
"HEBPGAIP_00391","Glyoxal reductase","91061|Bacilli","yvgN","Aldo keto reductase","-","-","-","Aldo_ket_red",NA,NA,NA,NA,NA
"HEBPGAIP_00392","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00393","Calcium-transporting ATPase CtpE","91061|Bacilli","yfgQ","E1-E2 ATPase","-","ko:K12952","-","E1-E2_ATPase,Hydrolase",NA,NA,NA,NA,NA
"HEBPGAIP_00394","hypothetical protein","91061|Bacilli","-","Domain of unknown function (DUF1836)","-","-","-","DUF1836",NA,NA,NA,NA,NA
"HEBPGAIP_00395","hypothetical protein","91061|Bacilli","glpQ4","phosphodiesterase","3.1.4.46","ko:K01126","-","GDPD,GPDPase_memb",NA,NA,NA,NA,NA
"HEBPGAIP_00396","Aldehyde-alcohol dehydrogenase","91061|Bacilli","adhE","belongs to the iron- containing alcohol dehydrogenase family","1.1.1.1,1.2.1.10","ko:K04072","-","Aldedh,Fe-ADH",NA,NA,NA,NA,NA
"HEBPGAIP_00397","hypothetical protein","91061|Bacilli","-","LysM domain protein","-","-","-","LysM,SLAP",NA,NA,NA,NA,NA
"HEBPGAIP_00398","hypothetical protein","91061|Bacilli","-","Leucine-rich repeat (LRR) protein","-","-","-","Gram_pos_anchor,MucBP",NA,NA,NA,NA,NA
"HEBPGAIP_00399","hypothetical protein","91061|Bacilli","-","LysM domain protein","-","-","-","LysM,SLAP",NA,NA,NA,NA,NA
"HEBPGAIP_00400","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00401","hypothetical protein","91061|Bacilli","lysM","LysM domain","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00402","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00403","hypothetical protein","91061|Bacilli","-","Bacterial regulatory proteins, tetR family","-","-","-","TetR_N",NA,NA,NA,NA,NA
"HEBPGAIP_00404","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1","91061|Bacilli","kduI","Catalyzes the isomerization of 5-dehydro-4-deoxy-D- glucuronate to 3-deoxy-D-glycero-2,5-hexodiulosonate","5.3.1.17","ko:K01815","-","KduI",NA,NA,NA,NA,NA
"HEBPGAIP_00405","2-dehydro-3-deoxygluconokinase","91061|Bacilli","kdgK","pfkB family carbohydrate kinase","2.7.1.45","ko:K00874","-","PfkB",NA,NA,NA,NA,NA
"HEBPGAIP_00406","Acetate kinase","91061|Bacilli","ackA","Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction","2.7.2.1","ko:K00925","-","Acetate_kinase",NA,NA,NA,NA,NA
"HEBPGAIP_00407","hypothetical protein","91061|Bacilli","-","3D domain","-","-","-","3D,LysM",NA,NA,NA,NA,NA
"HEBPGAIP_00408","Multidrug efflux system permease protein","91061|Bacilli","-","Exporter of polyketide antibiotics","-","ko:K01992","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00409","Multidrug efflux system ATP-binding protein","91061|Bacilli","ybhF_1","ABC transporter","-","ko:K01990","-","ABC_tran,DUF4162",NA,NA,NA,NA,NA
"HEBPGAIP_00410","putative protein YedJ","91061|Bacilli","yagB","Metal dependent phosphohydrolases with conserved 'HD' motif.","-","ko:K06950","-","HD",NA,NA,NA,NA,NA
"HEBPGAIP_00411","hypothetical protein","91061|Bacilli","-","MatE","-","-","-","MatE",NA,NA,NA,NA,NA
"HEBPGAIP_00412","Uronate isomerase","91061|Bacilli","uxaC","glucuronate isomerase","5.3.1.12","ko:K01812","-","UxaC",NA,NA,NA,NA,NA
"HEBPGAIP_00413","Glucuronide carrier protein ","91061|Bacilli","-","MFS/sugar transport protein","-","ko:K03292","-","MFS_2",NA,NA,NA,NA,NA
"HEBPGAIP_00414","Oligosaccharide 4-alpha-D-glucosyltransferase","91061|Bacilli","-","Belongs to the glycosyl hydrolase 31 family","3.2.1.20","ko:K01187","GH31","DUF4968,DUF5110,Gal_mutarotas_2,Glyco_hydro_31",NA,NA,NA,NA,NA
"HEBPGAIP_00415","Beta-glucuronidase","91061|Bacilli","uidA","Belongs to the glycosyl hydrolase 2 family","3.2.1.31","ko:K01195","-","Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N",NA,NA,NA,NA,NA
"HEBPGAIP_00416","Polyol:NADP oxidoreductase","91061|Bacilli","uxuB","Mannitol dehydrogenase C-terminal domain","1.1.1.57","ko:K00040","-","Mannitol_dh,Mannitol_dh_C",NA,NA,NA,NA,NA
"HEBPGAIP_00417","Protein LacX","91061|Bacilli","yqhA","Aldose 1-epimerase","-","-","-","Aldose_epim",NA,NA,NA,NA,NA
"HEBPGAIP_00418","2","91061|Bacilli","-","Belongs to the phosphoglycerate mutase family","-","-","-","His_Phos_1",NA,NA,NA,NA,NA
"HEBPGAIP_00419","Hydroxypyruvate reductase","91061|Bacilli","-","Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family","-","-","-","2-Hacid_dh,2-Hacid_dh_C",NA,NA,NA,NA,NA
"HEBPGAIP_00420","Xylulose kinase","91061|Bacilli","gntK","Belongs to the FGGY kinase family","2.7.1.12","ko:K00851","-","FGGY_C,FGGY_N",NA,NA,NA,NA,NA
"HEBPGAIP_00421","6-phosphogluconate dehydrogenase","91061|Bacilli","gntZ","Dehydrogenase","1.1.1.343,1.1.1.44","ko:K00033","-","6PGD,NAD_binding_2",NA,NA,NA,NA,NA
"HEBPGAIP_00422","HTH-type transcriptional repressor RspR","91061|Bacilli","-","FCD domain","-","-","-","FCD,GntR",NA,NA,NA,NA,NA
"HEBPGAIP_00423","Mannonate dehydratase","91061|Bacilli","uxuA","Catalyzes the dehydration of D-mannonate","4.2.1.8","ko:K01686","-","UxuA",NA,NA,NA,NA,NA
"HEBPGAIP_00424","putative HTH-type transcriptional repressor ExuR","91061|Bacilli","exuR","Periplasmic binding protein domain","-","ko:K02529","-","LacI,Peripla_BP_3",NA,NA,NA,NA,NA
"HEBPGAIP_00425","putative symporter YjmB","91061|Bacilli","-","MFS/sugar transport protein","-","ko:K03292","-","MFS_2",NA,NA,NA,NA,NA
"HEBPGAIP_00426","hypothetical protein","91061|Bacilli","-","tagaturonate epimerase","5.1.2.7","ko:K21619","-","UxaE",NA,NA,NA,NA,NA
"HEBPGAIP_00427","Uronate isomerase","91061|Bacilli","uxaC","glucuronate isomerase","5.3.1.12","ko:K01812","-","UxaC",NA,NA,NA,NA,NA
"HEBPGAIP_00428","hypothetical protein","91061|Bacilli","-","module of peptide synthetase","-","-","-","Condensation",NA,NA,NA,NA,NA
"HEBPGAIP_00429","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00430","putative transport protein HsrA","91061|Bacilli","-","Major Facilitator","-","-","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00431","hypothetical protein","91061|Bacilli","-","Protein of unknown function (DUF3278)","-","-","-","DUF3278",NA,NA,NA,NA,NA
"HEBPGAIP_00432","hypothetical protein","91061|Bacilli","-","Helix-turn-helix XRE-family like proteins","-","ko:K07729","-","HTH_3",NA,NA,NA,NA,NA
"HEBPGAIP_00433","hypothetical protein","91061|Bacilli","-","Leucine-rich repeat (LRR) protein","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00434","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00435","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK","91061|Bacilli","ebsC","Belongs to the prolyl-tRNA editing family. YbaK EbsC subfamily","-","ko:K03976","-","tRNA_edit",NA,NA,NA,NA,NA
"HEBPGAIP_00436","HTH-type transcriptional repressor NagR","91061|Bacilli","gntR1","UbiC transcription regulator-associated domain protein","-","-","-","GntR,UTRA",NA,NA,NA,NA,NA
"HEBPGAIP_00437","hypothetical protein","91061|Bacilli","zmp3","Zinc-dependent metalloprotease","-","-","-","Peptidase_M10",NA,NA,NA,NA,NA
"HEBPGAIP_00438","Transcription elongation factor GreA","91061|Bacilli","greA","Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides","-","ko:K03624","-","GreA_GreB,GreA_GreB_N",NA,NA,NA,NA,NA
"HEBPGAIP_00439","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00440","Accessory gene regulator protein A","91061|Bacilli","agrA","LytTr DNA-binding domain","-","ko:K07707","-","LytTR,Response_reg",NA,NA,NA,NA,NA
"HEBPGAIP_00441","hypothetical protein","91061|Bacilli","pltK","GHKL domain","2.7.13.3","ko:K07706","-","HATPase_c_5",NA,NA,NA,NA,NA
"HEBPGAIP_00442","hypothetical protein","91061|Bacilli","-","protein histidine kinase activity","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00443","3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase","91061|Bacilli","-","Oxidoreductase, short chain dehydrogenase reductase family protein","-","-","-","adh_short_C2",NA,NA,NA,NA,NA
"HEBPGAIP_00444","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00445","Ribosomal large subunit pseudouridine synthase D","91061|Bacilli","rluA","Responsible for synthesis of pseudouridine from uracil","5.4.99.23,5.4.99.28,5.4.99.29","ko:K06177,ko:K06180","-","PseudoU_synth_2",NA,NA,NA,NA,NA
"HEBPGAIP_00446","Putative universal stress protein","91061|Bacilli","uspA3","universal stress protein","-","-","-","Usp",NA,NA,NA,NA,NA
"HEBPGAIP_00447","hypothetical protein","91061|Bacilli","yeaB","Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family","-","-","-","Cation_efflux,ZT_dimer",NA,NA,NA,NA,NA
"HEBPGAIP_00448","Multidrug resistance protein Stp","91061|Bacilli","-","Major Facilitator","-","-","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00449","hypothetical protein","91061|Bacilli","-","transcriptional regulator","-","-","-","TetR_N",NA,NA,NA,NA,NA
"HEBPGAIP_00450","Oligopeptide-binding protein AppA","91061|Bacilli","oppA1","ABC transporter substrate-binding protein","-","ko:K02035","-","SBP_bac_5",NA,NA,NA,NA,NA
"HEBPGAIP_00451","hypothetical protein","91061|Bacilli","oppC","Binding-protein-dependent transport system inner membrane component","-","ko:K02034","-","BPD_transp_1,OppC_N",NA,NA,NA,NA,NA
"HEBPGAIP_00452","Glutathione transport system permease protein GsiC","91061|Bacilli","oppB","ABC transporter permease","-","ko:K02033,ko:K02034","-","BPD_transp_1",NA,NA,NA,NA,NA
"HEBPGAIP_00453","Oligopeptide transport ATP-binding protein OppF","91061|Bacilli","oppF","Belongs to the ABC transporter superfamily","-","ko:K02032","-","ABC_tran,oligo_HPY",NA,NA,NA,NA,NA
"HEBPGAIP_00454","Oligopeptide transport ATP-binding protein OppD","91061|Bacilli","oppD","Belongs to the ABC transporter superfamily","-","ko:K02031,ko:K15583","-","ABC_tran,oligo_HPY",NA,NA,NA,NA,NA
"HEBPGAIP_00455","hypothetical protein","91061|Bacilli","-","Winged helix-turn-helix transcription repressor, HrcA DNA-binding","-","-","-","Rrf2",NA,NA,NA,NA,NA
"HEBPGAIP_00456","Lipoate-protein ligase LplJ","91061|Bacilli","lplA","Lipoate-protein ligase","6.3.1.20","ko:K03800","-","BPL_LplA_LipB,Lip_prot_lig_C",NA,NA,NA,NA,NA
"HEBPGAIP_00457","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00458","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00459","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00460","Xylose isomerase","91061|Bacilli","xylA","Belongs to the xylose isomerase family","5.3.1.5","ko:K01805","-","AP_endonuc_2",NA,NA,NA,NA,NA
"HEBPGAIP_00461","Xylulose kinase","91061|Bacilli","xylB","Xylulose kinase","2.7.1.17","ko:K00854","-","FGGY_C,FGGY_N",NA,NA,NA,NA,NA
"HEBPGAIP_00462","D-xylose transporter","91061|Bacilli","xylT","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family","-","-","-","Sugar_tr",NA,NA,NA,NA,NA
"HEBPGAIP_00463","Diacetyl reductase [(S)-acetoin forming]","91061|Bacilli","budC","reductase","1.1.1.304,1.1.1.76","ko:K03366","-","adh_short,adh_short_C2",NA,NA,NA,NA,NA
"HEBPGAIP_00464","Intracellular iron chaperone frataxin","91061|Bacilli","frataxin","Domain of unknown function (DU1801)","-","ko:K05937","-","DUF1801",NA,NA,NA,NA,NA
"HEBPGAIP_00465","hypothetical protein","91061|Bacilli","-","membrane","-","-","-","YfhO",NA,NA,NA,NA,NA
"HEBPGAIP_00466","Putative universal stress protein","91061|Bacilli","usp5","universal stress protein","-","-","-","Usp",NA,NA,NA,NA,NA
"HEBPGAIP_00467","hypothetical protein","91061|Bacilli","yxkA","Phosphatidylethanolamine-binding protein","-","ko:K06910","-","PBP",NA,NA,NA,NA,NA
"HEBPGAIP_00468","putative succinyl-diaminopimelate desuccinylase","91061|Bacilli","-","succinyl-diaminopimelate desuccinylase","3.5.1.18","ko:K01439","-","M20_dimer,Peptidase_M20,Peptidase_M28",NA,NA,NA,NA,NA
"HEBPGAIP_00469","hypothetical protein","91061|Bacilli","-","Ion channel","-","ko:K10716","-","Ion_trans_2",NA,NA,NA,NA,NA
"HEBPGAIP_00470","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00471","putative oxidoreductase/MSMEI_2347","91061|Bacilli","-","Aldo keto reductase","-","-","-","Aldo_ket_red",NA,NA,NA,NA,NA
"HEBPGAIP_00472","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00473","hypothetical protein","91061|Bacilli","-","Acetyltransferase (GNAT) family","-","-","-","Acetyltransf_1,Acetyltransf_9",NA,NA,NA,NA,NA
"HEBPGAIP_00474","Na(+)/H(+) antiporter NhaC","91061|Bacilli","nhaC","Na H antiporter NhaC","-","ko:K03315","-","Na_H_antiporter",NA,NA,NA,NA,NA
"HEBPGAIP_00475","hypothetical protein","91061|Bacilli","-","Membrane transport protein","-","ko:K07088","-","Mem_trans",NA,NA,NA,NA,NA
"HEBPGAIP_00476","(R)-2-hydroxyglutarate dehydrogenase","91061|Bacilli","idhA","Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family","1.1.1.28","ko:K03778","-","2-Hacid_dh,2-Hacid_dh_C",NA,NA,NA,NA,NA
"HEBPGAIP_00477","Sensor histidine kinase DcuS","91061|Bacilli","yufL","Single cache domain 3","2.7.13.3","ko:K02476,ko:K11614","-","HATPase_c,PAS,SPOB_a,sCache_3_2",NA,NA,NA,NA,NA
"HEBPGAIP_00478","Transcriptional regulatory protein DcuR","91061|Bacilli","dctR","cheY-homologous receiver domain","-","ko:K02475,ko:K11692","-","FaeA,HTH_11,HTH_DeoR,HTH_IclR,Response_reg",NA,NA,NA,NA,NA
"HEBPGAIP_00479","hypothetical protein","91061|Bacilli","-","ABC-2 family transporter protein","-","-","-","ABC2_membrane_3",NA,NA,NA,NA,NA
"HEBPGAIP_00480","hypothetical protein","91061|Bacilli","-","Bacterial regulatory proteins, tetR family","-","-","-","TetR_C_8,TetR_N",NA,NA,NA,NA,NA
"HEBPGAIP_00481","hypothetical protein","91061|Bacilli","-","Putative diguanylate phosphodiesterase","-","-","-","EAL",NA,NA,NA,NA,NA
"HEBPGAIP_00482","hypothetical protein","91061|Bacilli","-","Acetyltransferase (GNAT) family","-","-","-","Acetyltransf_1",NA,NA,NA,NA,NA
"HEBPGAIP_00483","hypothetical protein","91061|Bacilli","-","zinc-ribbon domain","-","-","-","zf-ribbon_3,zinc_ribbon_2",NA,NA,NA,NA,NA
"HEBPGAIP_00484","hypothetical protein","91061|Bacilli","-","response to antibiotic","-","-","-","zf-ribbon_3,zinc_ribbon_2",NA,NA,NA,NA,NA
"HEBPGAIP_00485","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00486","hypothetical protein","91061|Bacilli","-","NUDIX domain","3.6.1.55","ko:K03574","-","NUDIX",NA,NA,NA,NA,NA
"HEBPGAIP_00487","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
